DATE,CPALTT01USM661S
1955-02-01,12.2996209680563
1955-03-01,.
1955-04-01,.
1955-05-01,.
1955-06-01,.
1955-07-01,12.272105037479
1955-08-01,.
1955-09-01,.
1955-10-01,12.2996209680563
1955-11-01,.
1955-12-01,.
1956-01-01,.
1956-02-01,.
1956-03-01,.
1956-04-01,.
1956-05-01,.
1956-06-01,.
1956-07-01,.
1956-08-01,.
1956-09-01,.
1956-10-01,.
1956-11-01,.
1956-12-01,.
1957-01-01,12.6894299845681
1957-02-01,.
1957-03-01,.
1957-04-01,.
1957-05-01,.
1957-06-01,.
1957-07-01,12.9279013829048
1957-08-01,.
1957-09-01,.
1957-10-01,.
1957-11-01,.
1957-12-01,.
1958-01-01,.
1958-02-01,.
1958-03-01,.
1958-04-01,13.2718505151211
1958-05-01,13.2718505151211
1958-06-01,.
1958-07-01,.
1958-08-01,13.2718505151211
1958-09-01,.
1958-10-01,.
1958-11-01,.
1958-12-01,.
1959-01-01,.
1959-02-01,.
1959-03-01,.
1959-04-01,.
1959-05-01,.
1959-06-01,13.3498123184235
1959-07-01,13.3681562721417
1959-08-01,.
1959-09-01,.
1959-10-01,.
1959-11-01,.
1959-12-01,.
1960-01-01,13.4690480175918
1960-02-01,13.4873919713101
1960-03-01,13.4873919713101
1960-04-01,13.5470098208942
1960-05-01,13.5607677861829
1960-06-01,13.5791117399011
1960-07-01,13.5515958093238
1960-08-01,13.5791117399011
1960-09-01,13.5791117399011
1960-10-01,13.6433155779148
1960-11-01,13.6570735432034
1960-12-01,13.6708315084921
1961-01-01,13.6845894737808
1961-02-01,13.6845894737808
1961-03-01,13.6845894737808
1961-04-01,13.6708315084921
1961-05-01,13.6845894737808
1961-06-01,13.6845894737808
1961-07-01,13.7212773812172
1961-08-01,13.7304493580763
1961-09-01,13.7487933117945
1961-10-01,13.7487933117945
1961-11-01,13.7487933117945
1961-12-01,13.7625512770831
1962-01-01,13.7763092423718
1962-02-01,13.8084111613786
1962-03-01,13.8359270919559
1962-04-01,13.8542710456742
1962-05-01,13.8680290109628
1962-06-01,13.8542710456742
1962-07-01,13.8588570341037
1962-08-01,13.886372964681
1962-09-01,13.9505768026947
1962-10-01,13.9322328489765
1962-11-01,13.9322328489765
1962-12-01,13.9322328489765
1963-01-01,13.9597487795538
1963-02-01,13.978092733272
1963-03-01,13.9918506985607
1963-04-01,13.978092733272
1963-05-01,13.9918506985607
1963-06-01,14.0377105828562
1963-07-01,14.0743984902926
1963-08-01,14.1019144208699
1963-09-01,14.0881564555813
1963-10-01,14.1019144208699
1963-11-01,14.1156723861586
1963-12-01,14.1615322704541
1964-01-01,14.1890482010314
1964-02-01,14.1752902357427
1964-03-01,14.1890482010314
1964-04-01,14.1936341894609
1964-05-01,14.2073921547496
1964-06-01,14.2211501200382
1964-07-01,14.2257361084678
1964-08-01,14.2394940737564
1964-09-01,14.2532520390451
1964-10-01,14.2715959927633
1964-11-01,14.3128698886293
1964-12-01,14.3312138423475
1965-01-01,14.3449718076361
1965-02-01,14.3449718076361
1965-03-01,14.3587297729248
1965-04-01,14.3908316919316
1965-05-01,14.4366915762272
1965-06-01,14.4963094258113
1965-07-01,14.4825514605227
1965-08-01,14.468793495234
1965-09-01,14.5008954142409
1965-10-01,14.5146533795295
1965-11-01,14.560513263825
1965-12-01,14.6063731481205
1966-01-01,14.6201311134092
1966-02-01,14.7118508820002
1966-03-01,14.7577107662957
1966-04-01,14.8035706505912
1966-05-01,14.8356725695981
1966-06-01,14.8494305348868
1966-07-01,14.8815324538936
1966-08-01,14.9732522224846
1966-09-01,15.0191121067802
1966-10-01,15.0649719910757
1966-11-01,15.0787299563643
1966-12-01,15.0970739100825
1967-01-01,15.0879019332234
1967-02-01,15.1337618175189
1967-03-01,15.1337618175189
1967-04-01,15.1796217018144
1967-05-01,15.1796217018144
1967-06-01,15.2713414704055
1967-07-01,15.317201354701
1967-08-01,15.3630612389965
1967-09-01,15.408921123292
1967-10-01,15.4547810075875
1967-11-01,15.5465007761785
1967-12-01,15.5923606604741
1968-01-01,15.6382205447696
1968-02-01,15.6840804290651
1968-03-01,15.7299403133606
1968-04-01,15.7758001976561
1968-05-01,15.8216600819516
1968-06-01,15.9133798505426
1968-07-01,16.0050996191337
1968-08-01,16.0509595034292
1968-09-01,16.0968193877247
1968-10-01,16.1885391563157
1968-11-01,16.2343990406112
1968-12-01,16.3261188092022
1969-01-01,16.3719786934978
1969-02-01,16.4178385777933
1969-03-01,16.5554182306798
1969-04-01,16.6471379992708
1969-05-01,16.6929978835663
1969-06-01,16.7847176521574
1969-07-01,16.8764374207484
1969-08-01,16.9222973050439
1969-09-01,17.0140170736349
1969-10-01,17.1057368422259
1969-11-01,17.197456610817
1969-12-01,17.289176379408
1970-01-01,17.380896147999
1970-02-01,17.47261591659
1970-03-01,17.5643356851811
1970-04-01,17.6560554537721
1970-05-01,17.7019153380676
1970-06-01,17.7936351066586
1970-07-01,17.8394949909541
1970-08-01,17.8853548752496
1970-09-01,17.9770746438407
1970-10-01,18.0687944124317
1970-11-01,18.1605141810227
1970-12-01,18.2522339496137
1971-01-01,18.2980938339093
1971-02-01,18.2980938339093
1971-03-01,18.3439537182048
1971-04-01,18.3898136025003
1971-05-01,18.4815333710913
1971-06-01,18.5732531396823
1971-07-01,18.6191130239778
1971-08-01,18.6649729082734
1971-09-01,18.7108327925689
1971-10-01,18.7566926768644
1971-11-01,18.8025525611599
1971-12-01,18.8484124454554
1972-01-01,18.8942723297509
1972-02-01,18.9859920983419
1972-03-01,18.9859920983419
1972-04-01,19.0318519826374
1972-05-01,19.077711866933
1972-06-01,19.1235717512285
1972-07-01,19.169431635524
1972-08-01,19.2152915198195
1972-09-01,19.3070112884105
1972-10-01,19.352871172706
1972-11-01,19.444590941297
1972-12-01,19.4904508255926
1973-01-01,19.5821705941836
1973-02-01,19.7197502470701
1973-03-01,19.9031897842522
1973-04-01,20.0407694371387
1973-05-01,20.1324892057297
1973-06-01,20.2700688586163
1973-07-01,20.2700688586163
1973-08-01,20.6369479329804
1973-09-01,20.7286677015714
1973-10-01,20.9121072387534
1973-11-01,21.04968689164
1973-12-01,21.233126428822
1974-01-01,21.4624258502996
1974-02-01,21.6917252717771
1974-03-01,21.9210246932547
1974-04-01,22.0586043461412
1974-05-01,22.2879037676188
1974-06-01,22.4713433048008
1974-07-01,22.6089229576874
1974-08-01,22.8840822634604
1974-09-01,23.205101453529
1974-10-01,23.3885409907111
1974-11-01,23.6178404121886
1974-12-01,23.8012799493707
1975-01-01,23.9847194865527
1975-02-01,24.1222991394393
1975-03-01,24.2140189080303
1975-04-01,24.3057386766213
1975-05-01,24.3515985609168
1975-06-01,24.5350380980989
1975-07-01,24.7643375195764
1975-08-01,24.8560572881675
1975-09-01,25.0394968253495
1975-10-01,25.177076478236
1975-11-01,25.3605160154181
1975-12-01,25.4980956683046
1976-01-01,25.5898154368957
1976-02-01,25.6356753211912
1976-03-01,25.6815352054867
1976-04-01,25.7273950897822
1976-05-01,25.8649747426687
1976-06-01,26.0025543955552
1976-07-01,26.1401340484418
1976-08-01,26.2777137013283
1976-09-01,26.4152933542149
1976-10-01,26.5528730071014
1976-11-01,26.6445927756924
1976-12-01,26.782172428579
1977-01-01,26.9197520814655
1977-02-01,27.1949113872386
1977-03-01,27.3324910401251
1977-04-01,27.5159305773071
1977-05-01,27.6076503458982
1977-06-01,27.7452299987847
1977-07-01,27.8828096516712
1977-08-01,28.0203893045578
1977-09-01,28.1121090731488
1977-10-01,28.2496887260353
1977-11-01,28.4331282632174
1977-12-01,28.5707079161039
1978-01-01,28.754147453286
1978-02-01,28.8917271061725
1978-03-01,29.0751666433546
1978-04-01,29.3044660648321
1978-05-01,29.5796253706052
1978-06-01,29.8089247920827
1978-07-01,30.0382242135603
1978-08-01,30.2216637507424
1978-09-01,30.4968230565154
1978-10-01,30.7719823622885
1978-11-01,30.9554218994705
1978-12-01,31.1388614366526
1979-01-01,31.4140207424257
1979-02-01,31.7350399324942
1979-03-01,32.0560591225628
1979-04-01,32.3770783126314
1979-05-01,32.7439573869955
1979-06-01,33.1108364613596
1979-07-01,33.4777155357237
1979-08-01,33.7987347257923
1979-09-01,34.1197539158609
1979-10-01,34.486632990225
1979-11-01,34.8535120645891
1979-12-01,35.2662510232487
1980-01-01,35.7707097504993
1980-02-01,36.2293085934544
1980-03-01,36.733767320705
1980-04-01,37.1006463950691
1980-05-01,37.4675254694332
1980-06-01,37.8344045437973
1980-07-01,37.8802644280928
1980-08-01,38.1554237338659
1980-09-01,38.4764429239345
1980-10-01,38.8433219982986
1980-11-01,39.2560609569582
1980-12-01,39.6229400313223
1981-01-01,39.9898191056864
1981-02-01,40.3566981800505
1981-03-01,40.6318574858236
1981-04-01,40.8611569073011
1981-05-01,41.1363162130742
1981-06-01,41.5031952874383
1981-07-01,41.9617941303934
1981-08-01,42.282813320462
1981-09-01,42.6955522791216
1981-10-01,42.8331319320081
1981-11-01,43.0165714691902
1981-12-01,43.1541511220767
1982-01-01,43.2917307749632
1982-02-01,43.4293104278498
1982-03-01,43.4293104278498
1982-04-01,43.5668900807363
1982-05-01,43.9796290393959
1982-06-01,44.4840877666466
1982-07-01,44.7133871881241
1982-08-01,44.8051069567151
1982-09-01,44.8051069567151
